File_Number,Instruments
1639,Piano
1640,Piano
1641,Piano
1642,Piano
1643,Piano
1644,Piano
1645,Piano
1646,Piano
1647,Piano
1648,Piano
1649,Piano
1650,Piano
1651,Piano
1652,Piano
1653,Piano
1654,Piano
1655,Piano
1656,Piano
1657,Piano
1658,Piano
1659,Piano
1660,Piano
1661,Piano
1662,"Tenor,Piano"
1663,Piano
1664,Piano
1665,Piano
1666,Piano
1667,Piano
1668,Piano
1669,Piano
1670,Piano
1671,Piano
1672,Piano
1673,Piano
1674,Piano
1675,"Vocals,Piano"
1676,Piano
1677,Piano
1678,Piano
1679,Piano
1680,Piano
1681,Piano
1682,Piano
1683,Piano
1684,Piano
1685,Piano
1686,Piano
1687,Piano
1688,Piano
1689,"Baritone,Piano"
1690,Piano
1691,Piano
1692,Piano
1693,Piano
1694,Piano
1695,Piano
1696,Piano
1697,Piano
1698,Piano
1699,Piano
1700,Piano
1701,Piano
1702,Piano
1703,Piano
1704,Piano
1705,Piano
1706,Piano
1707,Piano
1708,Piano
1709,Piano
1710,Piano
1711,Piano
1712,Piano
1713,Piano
1714,Piano
1715,Piano
1716,Piano
1717,Piano
1718,Piano
1719,Piano
1720,Piano
1721,Piano
1722,Piano
1723,Piano
1724,Piano
1725,Piano
1726,Piano
1727,Piano
1728,Piano
1729,Piano
1730,Piano
1731,Piano
1732,Piano
1733,Piano
1734,Piano
1735,Piano
1736,Piano
1737,Piano
1738,Piano
1739,Piano
1740,Piano
1741,Piano
1742,Piano
1743,Piano
1744,Piano
1745,Piano
1746,Piano
1747,Piano
1748,Piano
1749,Piano
1750,Piano
1751,Piano
1752,Piano
1753,Piano
1754,Piano
1755,Piano
1756,Piano
1757,Piano
1758,Piano
1759,Piano
1760,Piano
1761,Piano
1762,Piano
1763,Piano
1764,Piano
1765,Piano
1766,Piano
1767,Piano
1768,Piano
1769,Piano
1770,"Clarinet In B-flat,Piano"
1771,"Violin,Piano"
1772,Piano
1773,Piano
1774,Piano
1775,Piano
1776,Piano
1777,Piano
1778,Piano
1779,Piano
1780,Piano
1781,Piano
1782,Piano
1783,Piano
1784,Piano
1785,Piano
1786,Piano
